Year,Fresh Fruit,Processed Fruit Canning,Processed Fruit Freeze,Processed Fruit Dried,Processed Fruit Juice,Processed Fruit Other,Fresh Vegetables,Processed Vegetables Canning,Processed Vegetables Freeze,Processed Vegetables Dried,Processed Vegetables Chips,Processed Vegetables Legumes
1970,100.9,26.2,3.9,10,96.7,0.7,154.4,93,43.7,13.1,17.4,6.3
1971,100.9,26.5,4,10,101.2,0.6,148.1,108,45.3,13.8,17.2,6.8
1972,94.4,24.2,4,7.2,101.4,0.7,151.4,104,45.3,13.3,16.7,5.8
1973,96.7,24.5,4.1,10.2,99.8,0.6,148.1,98.7,50.6,14.2,16.3,7.6
1974,96.1,24,3.3,9.7,101.6,1,146.2,99.5,51,16.1,15.7,5.5
1975,101.4,23.5,3.1,10.3,113.3,0.4,149.1,97.6,52.6,16.7,15.5,6.9
1976,102,23.4,3.5,13.5,115.5,0.3,148.4,103.3,57.5,17.1,15.8,6.3
1977,99.6,24.4,3.6,9.9,132.8,0.6,148.8,101.5,59,12.7,16.2,6.7
1978,103.7,24.1,3.9,8.6,119.1,0.8,143.9,97,58.9,13.4,16.5,5.1
1979,99.9,25,3.2,10.1,112.2,0.6,149,100.6,55.4,13.1,16.7,6.4
1980,106.5,24.6,3.4,11.3,119.3,0.7,151.8,102.5,51.6,10.5,16.5,5.1
1981,103.5,21,3.1,9.7,124.3,0.4,145.5,97,58.2,11.7,16.6,5.6
1982,108.1,22.1,3.4,12.1,117.6,0.5,151.3,95.1,54.4,12.4,17,7.6
1983,110.7,20.1,3.4,11.8,133.8,0.4,151.8,96.5,55.9,11.6,17.8,6.4
1984,112.7,19.7,3.4,12.8,117.9,0.4,157.2,102.6,62.7,11.8,18,5.5
1985,110.8,20.9,3.5,12.9,122.2,0.3,159.1,99.3,64.5,12.8,17.6,7.1
1986,118.7,21.1,4.1,11.6,122.9,0.4,159.2,99.6,64.5,12.8,18.1,6.7
1987,121.3,21,4.2,12.2,127.2,0.3,168.6,99,67,12.3,17.6,5.6
1988,121.5,20.8,4.2,15,112.4,0.3,174.7,94.6,64.3,12.1,17.1,7.1
1989,123.1,21.5,4.6,13.3,117.6,0.2,181,101.7,67.4,12.4,17.4,5.5
1990,117,21,4.3,12.2,103.1,0.3,176.4,110.3,66.7,14.7,16.3,6.8
1991,113.1,19.8,4.4,12.4,117.6,0.4,176.3,112.4,72.5,15.4,17.2,7.6
1992,124.3,22.8,4.1,10.9,106.2,0.6,179.8,110.1,70.5,14.3,17,7.9
1993,123.3,20.6,3.8,12.7,122.7,0.3,187.8,109.9,75.4,15.7,17.5,7.3
1994,125.4,20.8,3.9,12.8,119.1,0.5,193.3,109.7,77.5,14.2,16.2,7.8
1995,123.4,17.3,4.3,12.8,116.5,0.3,188.1,108.2,78.8,14.5,16.1,7.7
1996,126.7,18.5,4.1,11.3,127,0.2,193.2,106.4,83.3,17.5,16.2,7.6
1997,130.3,20.1,3.8,10.7,123.8,0.7,199,105.5,80,16.4,15.2,7.6
1998,129.5,17.1,4.3,12.2,129,0.3,195.6,105.3,80.3,17.6,14.3,7.4
1999,130.5,19.3,3.9,10.3,123.7,0.5,201.4,102.9,80.8,14.6,15.5,7.9
2000,128.8,17.6,4.6,10.5,124.9,0.3,200.8,103.2,79.7,17.3,15.6,7.8
2001,126,17.8,4.9,9.9,122,0.2,198.1,96.5,79.7,15.8,17.4,7.3
2002,127,16.9,4.1,10.5,116.9,0.2,197.4,100.4,76.8,15.8,16.3,6.9
2003,128.3,17.4,5.1,9.9,119.3,0.4,200.8,100.9,78.6,17.3,17.2,6.9
2004,127.8,17,4.3,9.4,119.9,0.5,204.5,102.5,78.9,15.3,16.4,6.2
2005,125.3,16.7,5.2,10.1,112.6,0.5,196.6,104.9,76.4,13.9,16,6.2
2006,128,15.6,5,10.6,109.6,0.6,194.1,94.5,75.1,14.2,18.6,7.2
2007,123.6,16.1,5.3,9.9,106.7,0.5,194.4,96.8,75.8,14.1,18.6,6.6
2008,126.7,15.7,4.9,9.9,99.3,0.8,188.6,94.9,73.4,13.9,15.7,6.4
2009,124.4,15.5,4.9,9,99.4,0.6,185.9,100.7,71.7,13.7,13.7,6.4
2010,128.8,15,5,9.4,97.7,0.7,190.5,99.4,71.5,12.5,15,8
2011,129.8,14.3,4.9,9.3,95,0.7,187.3,91.5,70.2,11.9,16.8,6
2012,131,13.8,4.9,9.3,85.2,0.5,191.6,93,72.2,14.5,16.8,6.7
